상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
영자's곱창,음식,한식,곱창 전골/구이,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 172,127.0828324,37.56850268
썬더치킨,음식,기타 간이,치킨,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 127,127.073598,37.55366238
러슬,음식,비알코올 ,카페,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로37길 63,127.0855434,37.54860149
설레임,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로31길 30,127.0699372,37.54223531
오사이초밥,음식,일식,일식 회/초밥,서울특별시,광진구,화양동,화양동,서울특별시 광진구 군자로 14,127.0715027,37.54466245
인디고플레이스,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 154,127.0730884,37.54454876
남수푸드,음식,한식,횟집,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 광나루로37길 8,127.0876546,37.54530195
닛코리,음식,일식,일식 회/초밥,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로 200,127.065652,37.54104814
요거트월드,음식,기타 간이,아이스크림/빙수,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양번영로13길 3,127.0767073,37.53739573
열린밥상,음식,한식,백반/한정식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 247,127.0888248,37.54864488
다모아호프,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로 476,127.0631632,37.5364691
로프커피,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 동일로 304,127.073462,37.55824766
레스티오도서관점,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 120,127.0746953,37.53905594
용정성일초두부,음식,한식,백반/한정식,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로26길 42,127.0653198,37.53955877
에스씨푸드,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 69,127.0690464,37.54471519
팔자좀피자,음식,기타 간이,피자,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로 509-1,127.0670074,37.53579671
미각의발견,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로50길 37,127.0943022,37.55239034
비바체,음식,비알코올 ,카페,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로52길 11,127.0947895,37.54110389
신사동,음식,주점,요리 주점,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 답십리로 372,127.0818117,37.57142315
산과바다,음식,한식,횟집,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 322,127.0940347,37.55392008
온도계,음식,한식,돼지고기 구이/찜,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 자양로43길 60,127.0900929,37.55325002
장수카페,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 140,127.0749954,37.55414188
풍년상회,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로53길 53,127.0856082,37.53959147
브라운파스타,음식,서양식,파스타/스테이크,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로 158,127.066572,37.54621844
